Company Name,City/Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter/Decision-Maker,Growth Signals,Source
Sharp Agricom Limited,Download failed (timeout or HTTP error).,,,,,DRHP: Ms. Neha Gupta; Mr. Sanjay Singhal; Ms. Gauri Singhal; Mr. Sunand Singhal; Ms. Vidhi Goel. Companies Act The Companies; Mrs. Neha Gupta. Committee,,BSE DRHP
Sharvaya Metals Limited,on the page 163 of the DRHP:,See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.expertglobal.in; www.sharvayametals.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,capacity expansion; capex / capital expenditure; facility expansion; backward integration,BSE DRHP
Shashwat Furnishing Solutions Limited,"U20299RJ2021PLC073899. For further details, please refer to chapter titled “History and Corporate Structure” beginning on page 98 of this Draft Prospectus.",See DRHP ‘Industry / Business overview’ section.,www.beelinebroking.com; www.handicraftsvillage.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Hitesh Karnawat; Mrs. Ratika Khandelwal; Mr. Hitesh Karnawat. For; Mr. Lalit Ghewarchand Karnawat. Stakeholders Relationship Committee,subsidiary / group structure,BSE DRHP
Shayona Engineering Ltd.,"Registered Office: Shed No. 113/1, GIDC, Makarpura, M.I. Estate, Vadodara -390010, Gujarat, India, Telephone: +91 9310806080 E-mail: compliance@shayonaengg.com; Website: www.shayonaengg.com; Contact Person: Arti Ankitkumar Singh, Company Secretary and Compliance Officer;",See DRHP ‘Industry / Business overview’ section.,www.horizonmanagement.in; www.kfintech.com; www.shayonaengg.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Shellz India Limited,"registered office of our Company, see “History and Certain Corporate Matters” on page 217.",See DRHP ‘Industry / Business overview’ section.,www.shellz.in,200.00 Lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: KAPIL GARG AND SHALINI GARG,subsidiary / group structure,BSE DRHP
SHELTER PHARMA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Dimple Magharam Slun Email; Mr. Swapnil Kate Email; Mr. Mustaqim Nisarahmed Sabugar; Mr. Shakil Nisarahmed Sabugar THE ISSUE PUBLIC; Mr. Shakil Nisarahmed Sabugar,Not assessed (no machine-readable text).,BSE DRHP
Shine Fashions (India) Limited,"Mulund West Mumbai -400080, Maharashtra “you”, “your” or “yours” Prospective investors in this Issue",See DRHP ‘Industry / Business overview’ section.,www.amfabrics.in; www.cameoindia.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Anil Mehta; Ms Nidhi Jain; Ms. Nidhi Jain Director; Mr. Anish Anil Mehta Materiality Policy; Mr. Anish Anil Mehta; Mr. Anil Zaverchand Mehta; Mr. Anish Anil Mehta Mrs. Binal Anish; Ms. Purvi Anil Sanghvi; Mr. Ankit Hareshkumar Doshi; Mr. Sagar Hareshkumar Doshi,ISO certification mentioned; subsidiary / group structure,BSE DRHP
Shining Tools Ltd,"ATE OFFICE CONTACT PERSON EMAIL AND TELEPHONE WEBSITE Survey no. 63/2, Plot No. 2, Rajkot, Gondal Highway, Pipaliya, Gondal, Rajkot-360 311, Gujarat, India.",See DRHP ‘Industry / Business overview’ section.,https://accuratesecurities.com/; www.sobhagyacapital.com; www.tixnatools.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,ISO certification mentioned,BSE DRHP
Shipwaves Online Limited,identification number (,See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.finshoregroup.com; www.shipwaves.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Jessica Juliana Mendonca Company Secretary; Mr. Kalandan Mohammed Haris; Mr. Kalandan Mohammed Althaf; Mr. Kalandan Mohammad Arif; Mr. Abid Ali; Mrs. Bibi Hajira; Mr. Mohammed Sahim Haris DETAILS OF OFFER; Ms. K. Sreepriya Email; Mrs. Jessica Juliana Mendonca; Mr. Mohammed Sahim Haris THE ISSUE INITIAL,ISO certification mentioned,BSE DRHP
Shiv Texchem Limited,"and other details please, see “History and Certain Corporate Matters” on page 126 of the Draft Red Herring Prospectus",See DRHP ‘Industry / Business overview’ section.,www.linkintime.co.in; www.shivtexchem.com; www.vivro.net,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Vikas Pavankumar; Hemanshu S,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Shivam Chemicals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Manish Tarachand Pande,Not assessed (no machine-readable text).,BSE DRHP
Shivchem Agro limited,See DRHP ‘General Information’ — address not matched by pattern.,See DRHP ‘Industry / Business overview’ section.,www.maashitla.com; www.shannon.co.in; www.shivchemagro.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Shlokka Dyes Limited,"Saykha, Saran, Bharuch, Vagra, Gujarat, India-392140. Promoters Vaibhav Shah & Shivani Rajpurohit Promoter Group Companies, individuals and entities (other than companies) as defined under Regulation 2 sub-regulation (pp) of the SEBI ICDR Regulations, 2018. “you”, “your” or “yours” Prospective Investors in this Issue",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.ifinservices.in; www.shlokkadyes.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Siddharth Gajra Company Secretary; Mr. Siddharth Gajra; Mr. Siddharth Gajra Chief Financial Officer; Mr. Rajesh Patel. Act; Vaibhav Shah & Shivani Rajpurohit,ISO certification mentioned,BSE DRHP
Shoora Designs Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Priti Mohata; Mrs. Sejalben Satish Kansodariya; Mr. Rajeshbhai Labhubhai Mer DETAILS OF ISSUE; Mr. Rajeshbhai Labhubhai Mer. For; Mr. Rajeshbhai Labhubhai Mer; Mr. Ashwin Madhabhai Makwana,Not assessed (no machine-readable text).,BSE DRHP
Shree Balaji (Mala) Textiles Limited,Certain Corporate Matters” on page 153 of this Draft Red Herring Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.gyrcapitaladvisors.com; www.kfintech.com; www.malasaree.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Shree Marutinandan Tubes Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Pooja Mangal PROMOTERS OF THE; Mrs. Kusumlata Shivratan Sharma; Mr. Vikram Shivratan Sharma; Mr. Bharat Shivratan Sharma; Mr. Vikram Shivratan Sharma Place,Not assessed (no machine-readable text).,BSE DRHP
Shree Refrigerations Limited,"at Plot. No. 131/1+2, Opp. MSEB Stores, Virwade Road, Ogalewadi, Karad, Maharashtr a-415105, India. For details of change in name and registered office of our Company, please refer to chapter titled “",See DRHP ‘Industry / Business overview’ section.,https://linkintime.co.in; www.narnolia.com; www.shreeref.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Ravalnath Gopinath Shende,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Shree TNB Polymers Limited,"Athalroad, Silvassa, Dadra & Nagar Haveli, India- 396230.",See DRHP ‘Industry / Business overview’ section.,www.shreetnbpolymers.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,subsidiary / group structure,BSE DRHP
SHREENATH PAPER PRODUCTS LIMITED,CORPORATE OFFICE CONTACT PERSON EMAIL Shop no,See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.fedsec.in; www.shreenathpaper.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: ALOK PAREKH; RONAK PAREKH; NAVNEETDAS PAREKH; HASUMATI,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Shreni Shares Limited,"Borivali (West)- 400092 Mumbai, Maharashtra, India “we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company.",See DRHP ‘Industry / Business overview’ section.,www.afsl.co.in; www.bigshareonline.com; www.shreni.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,subsidiary / group structure,BSE DRHP
Shreyas Fabtech Ltd,Ahmedabad,Specialty Manufacturing (Fabrication/Engineering),shreyasfabtech.com,₹60–90 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Could not download DRHP PDF/ZIP for promoter extraction.,IPO filed Sep 2025,data.csv + BSE DRHP
Shri Balaji Valve Components Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Sourabh Garg Email; Mr. Babu Rapheal Email,Not assessed (no machine-readable text).,BSE DRHP
Shri Venkatesh Refineries Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Sapna Kamaldas Vaishnav; Mr. Anil Ganapati Kabre; Mr. Shantanu Ramesh Kabre; Mr. Prasad Dinesh Kabre THE ISSUE INITIAL; Mr. Dinesh Ganapati Kabre Materiality Policy; Mr. Dinesh Ganapati Kabre; Mr. Anil Ganpati Kabre; Mr. Prasad Dinesh Kabre; Mr. Ramesh Ganapati Kabre. Stakeholders Relationship Committee,Not assessed (no machine-readable text).,BSE DRHP
Shyam Dhani Industries Ltd,Delhi NCR,Specialty Manufacturing (Industrial Products),shyamdhani.com,₹60–100 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Dec 2025,data.csv
Sihora Industries Limited,"Compound, Udhna, Mangrol, Surat-394210, Gujarat, India. You or Your or Yours Prospective Investors in the Issue",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.sihoragroup.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,BSE DRHP
Silicon Rental Solutions Ltd,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Himanshi Tiwari; Ms. Anushka Sanjay Motiani,Not assessed (no machine-readable text).,BSE DRHP
Silver Pearl Hospitality & Luxury Spaces Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Jyoti Antil,Not assessed (no machine-readable text).,BSE DRHP
Silverstorm Parks and Resorts Limited,"India. Furthermore, unless the context otherwise indicates, all references to the terms, “we”, “us” and “our” are to our Company.",See DRHP ‘Industry / Business overview’ section.,https://silverstorm.in/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Simran Agrovet Ltd,Punjab,Specialty Manufacturing (Agro/Animal Feed),simranagrovet.com,₹50–90 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Siyaram Recycling Industries Limited,Download failed (timeout or HTTP error).,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,,BSE DRHP
SJP ULTRASONICS LIMITED,"Maharashtra, Mumbai.",investors may not have access to comparable industry metrics when evaluating,www.kslindia.com; www.maashitla.com; www.sjpultrasonics.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
SK International Export Limited,"78, Ground floor, A -2 Shah & Nahar Industrial Estate, Sitaram Jadhav Marg, Lower Parel, Mumbai-400013, Maharashtra, India “We”, “the”, “our” or “us” Unless the context otherwise indicates or implies, refers to our Company",See DRHP ‘Industry / Business overview’ section.,https://karisma.karvy.com; www.finshoregroup.com; www.skinternational.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Hitesh Shrawankumar Sadh; Mr. Shrawankumar Sadh; Mr. Hitesh Shrawankumar Sadh For,capex / capital expenditure; ISO certification mentioned; subsidiary / group structure,BSE DRHP
SK Minerals & Additives Limited,"Registered Office: Satkartar Building, Near Khalsa Petrol Pump, G.T Road, Khanna, Ludhiana -141401, Punjab, India Tel.: +91 9041114180; Email: companysecretary@skminerals.net ; Website: www.skminerals.net Contact Person: Ms. Divya, Company Secretary and Compliance Officer",See DRHP ‘Industry / Business overview’ section.,www.khambattasecurities.com; www.maashitla.com; www.skminerals.net,Extract from restated financials in DRHP (pattern not matched).,"DSIR Department of Scientific and Industrial Research EC European Commission EC European Commission EFSA European Food Safety Authority Emulsifiers Emulsifiers help mix two things that don’t usually mix, like oil and water.",DRHP: Ms. Divya Company Secretary; Mr. Chandan Mishra Email; Mr. Mukul Agrawal Email; Mr. Neeraj Kumar Tuli. Company Secretary; Ms. Divya. Corporate Identification Number; Mr. Mohit Jindal. MOA; Mrs. Sunita Rani; Mr. Mohit Jindal; Mr. Rohit Jindal; Mr. Shubham Jindal. Promoter Group Such,capacity expansion,BSE DRHP
Skill Tree Consulting Limited,"Certain Corporate Matters” beginning on page 101 of this Draft Red Herring Prospectus. Registered Office Office No 208, 2nd Floor, DLF Star Tower, Sector 30, Gurgaon, Sadar Bazar, Haryana, India, 122001 Telephone: +2269798570 E-mail: info@skilltree.org.in Investor grievance id: compliance@skilltree.org.in Website: https://www.skilltreeconsulting.in/",See DRHP ‘Industry / Business overview’ section.,https://www.skilltreeconsulting.in/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Hunny Naresh Mehta; Mr. Jaspal Singh Sehgal; Mr. Vishesh Saini Chief Financial Officer; Mr. Yogesh Gupta. Company Secretary; Ms. Hunny Naresh Mehta. Depositories Act; Mr. Jaspal Singh Sehgal For,subsidiary / group structure,BSE DRHP
SM Auto Stamping Limited,"“we”, “us” and “our” Unless the context otherwis e indicates or implies refers to our Company. “you”, “your” or “yours” Prospective investors in this Issue",See DRHP ‘Industry / Business overview’ section.,www.bigshareonline.com; www.hemsecurities.com; www.smautostamping.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Priya Anuj Khadilkar; Mr. Mukund Narayan Kulkarni; Mr. Suresh Gunwant Fegde; Mrs. Alka Mukund Kulkarni THE ISSUE INITIAL; Mr. Suresh GunwantFegde; Mrs. AlkaMukundKulkarni. For,subsidiary / group structure,BSE DRHP
SMR Jewels Limited,"Office Contact Person Email and Telephone Website 3, Vrindavan Appartments, Gulbai Tekra Ahmedabad Gujarat, India 380006. -",See DRHP ‘Industry / Business overview’ section.,https://smrjewels.in; www.smrjewels.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Vismay Manojkumar Soni Promoter; Mrs. Bhanumati Ramanlal Parekh; Mrs. Dipikaben Virendra Soni Promoter; Mrs. Drashti Pal Modi Promoter; Mrs. Parul Manoj Soni Promoter,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Sobo Films Holding Limited,CORPORATE OFFICE CONTACT PERSON CONTACT NUMBER AND EMAIL,See DRHP ‘Industry / Business overview’ section.,www.bigshareonlince.com; www.comfortsecurities.co.in; www.sobofilms.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,subsidiary / group structure,BSE DRHP
Sodhani Academy of Fintech Enablers Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Could not download DRHP PDF/ZIP for promoter extraction.,Not assessed (no machine-readable text).,BSE DRHP
Sodhani Capital Limited,"1st floor C-373 C Block Vaishali Nagar, Jaipur-302021, Rajasthan, India. Ms. Renu Sharma, Company Secretary and Compliance Officer Email: cs@sodhanicapital.com Tel: +91 9694875201",See DRHP ‘Industry / Business overview’ section.,https://sodhanicapital.com/; www.bonanzaonline.com; www.ndml.in; www.sodhanicapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Renu Sharma; Ms. Swati Agrawal; Mr. Abhay Bansal Email ID,subsidiary / group structure,BSE DRHP
Solar91 Cleantech Limited,"incorporation consequent upon conversion dated July 22, 2024 bearing",See DRHP ‘Industry / Business overview’ section.,www.maashitla.com; www.narnolia.com; www.solar91.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Harshit Jain; Mr. Pankaj Pasi Website; Mr. Mukul Agrawal CIN; Mrs. Surbhi Toshniwal. This; Mr. Dhawal Gaurang Vasavada; Mr. Saurabh Vyas; Mr. Prateek Agrawal; Mr. Sandeep Gurnani,subsidiary / group structure,BSE DRHP
SolarEdge Renewables Ltd,Chennai,Specialty Manufacturing (Renewable Energy),solaredgerenewables.com,₹80–150 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
SOLARIUM GREEN ENERGY LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Sollfege Smart Electronics Limited,See DRHP ‘General Information’ — address not matched by pattern.,See DRHP ‘Industry / Business overview’ section.,www.finshoregroup.com; www.sollfege.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Umesh Kumar Agarwal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Solvex Edibles Limited,"India, 244921. We / us / our Unless the context otherwise indicates or implies, refers to our Company you / your / yours Prospective Investors in this Issue",See DRHP ‘Industry / Business overview’ section.,www.corporatemakers.in; www.maashitla.com; www.solvexedibles.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Swati Vaish; Ms. Swati Vaish. Corporate Identification Number; Mr. Ashish Goel. MOA; Mr. Ashish Goel; Mr. Vishal Goel; Mrs. Rashika Gupta; Mr. Brij Bhushan Goel. Promoter Group Such,ISO certification mentioned,BSE DRHP
Sonalis Consumer Products Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Ankita Chopra; Mr. Gaurav Jain SEBI; Ms. Sonali Nilesh Kocharekar; Ms. Smita Shashikant Shah. For; Ms. Smita Shashikant Shah; Mr. Shivang Shashikant Shah,Not assessed (no machine-readable text).,BSE DRHP
Sotefin Bharat Limited,"Kalikapur, Kolkata, West Bengal, India, 700099. Furthermore, unless the context otherwise indicates, all references to the terms, “we”, “us” and “our” are to our Company.",See DRHP ‘Industry / Business overview’ section.,www.sotefinbharat.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
SPECIALITY MEDICINES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Could not download DRHP PDF/ZIP for promoter extraction.,Not assessed (no machine-readable text).,BSE DRHP
Spinaroo Commercial Limited,"company, please refer to section titled “",See DRHP ‘Industry / Business overview’ section.,www.cameoindia.com; www.finshoregroup.com; www.spino.co.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Ankita Periwal Company Secretary; Mr. Amit Sultania; Mr. Aditya Todi; Mrs. Mridula Todi DETAILS OF OFFER TO; Mr. S. Ramakrishna Iyengar Telephone; Ms. K. Sreepriya Telephone; Ms. Ankita Periwal; Mrs. Mridula Todi Promoter Group Includes,ISO certification mentioned,BSE DRHP
Sri Priyanka Geo Commex Ltd,Hyderabad,Specialty Manufacturing (Trading/Commodities),sripriyankageo.com,₹30–60 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Aug 2025,data.csv
Srigee DLM Limited,PDF parse error: PdfStreamError,,,,,Could not download DRHP PDF/ZIP for promoter extraction.,,BSE DRHP
Srinibas Pradhan Constructions Ltd,Odisha,Specialty Manufacturing (Construction/Infra),spconstructions.com,₹100–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
SSG Furnishing Solutions Ltd,Mumbai,Specialty Manufacturing (Furniture),ssgfurnishings.com,₹40–80 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
SSMD Agrotech India Limited,"CORPORATE OFFICE CONTACT PERSON EMAIL AND TELEPHONE WEBSITE Khasra No. 640/641, Libaspur Road, Village Siraspur, Siraspur, North West Delhi, Delhi, Delhi, India, 110042. G - 215 Preet Vihar, Upper Ground Floor, Delhi – 110092.",See DRHP ‘Industry / Business overview’ section.,www.houseofmanohar.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Rajesh Thakur; Mr. Ishu Munjal; Mrs. Surbhi Munjal; Mr. Jai Gopal Munjal DETAILS OF; Mr. Jai Gopal Munjal; Mrs. Surbhi Munjal WTD Whole- Time Director; Mrs. Surbhi Munjal Issue Related Terms Term,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
STANBIK AGRO LIMITED,to section titled “Our History and Certain Corporate Matters” beginning on page number 136 of the Draft Prospectus.,"“manufacturing” has been replaced with “contract farming.” Further, in paragraph 3, an additional line has been inserted.",https://growhousewealth.com; https://stanbikagro.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
STAR IMAGING AND PATH LAB LIMITED,"Registered Office: 4B/4, Tilak Nagar, Near Sant Pura, Tilak Nagar West Delhi, New Delhi- 110018, India Tel. No.: +91 9990019189 Email: cs@starimaging.com Website: www.starimaging.in Contact Person: Md Shadab Khan, Company Secretary & Compliance Officer",See DRHP ‘Industry / Business overview’ section.,www.kfintech.com; www.shareindia.com; www.starimaging.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Chhaya Gupta; Mr. Kunal Bansal Investor Grievances Email; Mr. Murali Krishna BID; Mr. Pawan Gupta; Mr. Kunal Bansal Email; Mr. Murali Krishna Email,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
STEELMAN TELECOM LTD.,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Nidhi Goyal Company Secretary; Mr. Mahendra Bindal Equity; Mr. Mayank Bindal Equity; Ms. Dimple Magharam Slun Email; Mr. Aniket Chindarkar Email; Ms. Nidhi Goyal; Mr. Mayank Bindal THE ISSUE PUBLIC ISSUE; Mr. Mayank Bindal,Not assessed (no machine-readable text).,BSE DRHP
STITCHED TEXTILES LIMITED,"1st Floor, Barcelona House, B/S",See DRHP ‘Industry / Business overview’ section.,www.barcelonaclub.in; www.bigshareonline.com; www.tcagroup.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Shivani Pathak; Mr. Garvit Bhola Telephone; Mr. Swapnil Kate Telephone,ISO certification mentioned,BSE DRHP
Storage Technologies and Automation Limited,"Number U74900KA2010PLC052918. For details of change in the name and registered office of our Company, please refer to chapter titles “History and Corporate Structure” beginning on page no 125 of this Draft Red Herring Prospectus. PROMOTERS OF THE COMPANY: MR. HANIF A. KHATRI, MR. MOHAMMAD ARIF ABDUL GAFFAR DOR,MR. KHASIM SAIT, MR. SYED AZEEM, MR. AFZAL, HUSSAIN AND MR. NUUMAAN KHASIM",See DRHP ‘Industry / Business overview’ section.,https://racksandrollers.com; www.integratedindia.in; www.nikunjonline.com; www.oneviewadvisors.com,8137.12 lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Theja Raju Mobile No,subsidiary / group structure,BSE DRHP
Streebo Solutions Ltd,Ahmedabad,Specialty Manufacturing (IT/Software Development),streebo.com,₹50–90 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Sep 2025,data.csv
Striders Impex Ltd,Mumbai,Specialty Manufacturing (Advanced Materials),stridersimpex.com,₹50–100 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
SUBAM PAPERS LIMITED,"For details in relation to the incorporation, Change in Registered Office and other details, please refer to the chapter titled “","c) Under the head Overview of Our Business on Page 135, the standalone revenue breakup and State wise revenue breakup has been inserted; d) Under the head Overview of",www.gretexcorporate.com; www.subampapers.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Poovalingam Nagarajan; Ms. Sudha Alagarsamy DETAILS OF THE OFFER,capex / capital expenditure; subsidiary / group structure,BSE DRHP
SUDARSHAN PHARMA INDUSTRIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Mr. Hemal Vasantrai Mehta Chairman; Ms. Dimple Magharam Slun Email; Mr. Hemal Vasantrai Mehta; Mr. Sachin Vasantrai Mehta DETAILS OF; Mr. Sachin Vasantrai Mehta,Not assessed (no machine-readable text).,BSE DRHP
